,_id,CPV_code
0,5bfd6bf7eca306f8c5bc10a2,0
1,5bfd6c02eca306f8c5bc10c9,0
2,5bfd6c09eca306f8c5bc10e5,15330000-0
3,5bfd6c16eca306f8c5bc1102,45316100-6
4,5bfd6c16eca306f8c5bc110d,45453000-7
5,5bfd6bd1eca306f8c5bc100f,45450000-6
6,5bfd6be6eca306f8c5bc105f,48210000-3
7,5bfd6c09eca306f8c5bc10dc,60140000-1
8,5bfd6c16eca306f8c5bc1109,44160000-9
9,5bfd6bd9eca306f8c5bc1024,15110000-2
10,5bfd6bf2eca306f8c5bc1091,0
11,5bfd6c16eca306f8c5bc110e,34910000-9
12,5bfd6bcceca306f8c5bc0fff,0
13,5bfd6bdeeca306f8c5bc103a,39130000-2
14,5bfd6bdbeca306f8c5bc1032,22210000-5
15,5bfd6bd1eca306f8c5bc100d,03220000-9
16,5bfd6c09eca306f8c5bc10e3,44220000-8
17,5bfd6be9eca306f8c5bc106a,33130000-0
18,5bfd6bdeeca306f8c5bc103c,0
19,5bfd6bf7eca306f8c5bc10a5,39100000-3
20,5bfd6a35eca306f8c5bc0ced,0
21,5bfd6a31eca306f8c5bc0cd6,15860000-4
22,5bfd6a35eca306f8c5bc0cee,0
23,5bfd6a27eca306f8c5bc0cac,33150000-6
24,5bfd6a35eca306f8c5bc0cef,72260000-5
25,5bfd6a33eca306f8c5bc0cde,45233142-6
26,5bfd6a21eca306f8c5bc0c81,0
27,5bfd6a2aeca306f8c5bc0cb8,0
28,5bfd6a24eca306f8c5bc0c94,22410000-7
29,5bfd6a2ceca306f8c5bc0cc2,22990000-6
30,5bfd6a25eca306f8c5bc0ca1,0
31,5bfd6a25eca306f8c5bc0c9e,0
32,5bfd6a2aeca306f8c5bc0cb9,45230000-8
33,5bfd6a35eca306f8c5bc0ceb,39710000-2
34,5bfd6a20eca306f8c5bc0c7a,15870000-7
35,5bfd6a24eca306f8c5bc0c92,22990000-6
36,5bfd6a22eca306f8c5bc0c89,45453000-7
37,5bfd6a24eca306f8c5bc0c91,45310000-3
38,5bfd6a25eca306f8c5bc0c9c,45000000-7
39,5bfd6a35eca306f8c5bc0ce9,30120000-6
40,5bfd6a1beca306f8c5bc0c5f,0
41,5bfd6a20eca306f8c5bc0c7b,44810000-1
42,5bfd6a25eca306f8c5bc0c9f,60140000-1
43,5bfd6a22eca306f8c5bc0c86,71220000-6
44,5bfd6a1eeca306f8c5bc0c71,0
45,5bfd672eeca306f8c5bc07f4,50530000-9
46,5bfd672deca306f8c5bc07ef,03210000-6
47,5bfd672eeca306f8c5bc07f2,42990000-2
48,5bfd6a1deca306f8c5bc0c64,50110000-9
49,5bfd6a1beca306f8c5bc0c5c,50110000-9
50,5bfd6724eca306f8c5bc07b7,0
51,5bfd672eeca306f8c5bc07f6,45233142-6
52,5bfd672aeca306f8c5bc07e5,71520000-9
53,5bfd6727eca306f8c5bc07cf,45233142-6
54,5bfd6719eca306f8c5bc077d,0
55,5bfd672eeca306f8c5bc07f3,0
