,_id,contracts,contracts.dateSigned,contracts.period.endDate,contracts.period.startDate,contracts.status
0,5bfd6bf7eca306f8c5bc10a2,,,,,
1,5bfd6c02eca306f8c5bc10c9,,,,,
2,5bfd6c09eca306f8c5bc10e5,,,,,pending
3,5bfd6c16eca306f8c5bc1102,,2018-11-27T10:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-27T00:00:00+02:00,pending
4,5bfd6c16eca306f8c5bc110d,,2018-11-27T18:06:00+02:00,2018-12-31T00:00:00+02:00,2018-11-27T00:00:00+02:00,active
5,5bfd6bd1eca306f8c5bc100f,,,,,pending
6,5bfd6be6eca306f8c5bc105f,,,,,pending
7,5bfd6c09eca306f8c5bc10dc,,2018-11-27T10:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,pending
8,5bfd6c16eca306f8c5bc1109,,2018-11-27T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-27T00:00:00+02:00,pending
9,5bfd6bd9eca306f8c5bc1024,,,,,pending
10,5bfd6bf2eca306f8c5bc1091,,,,,
11,5bfd6c16eca306f8c5bc110e,,2018-11-27T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-27T00:00:00+02:00,pending
12,5bfd6bcceca306f8c5bc0fff,,,,,
13,5bfd6bdeeca306f8c5bc103a,,2018-11-27T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-27T00:00:00+02:00,active
14,5bfd6bdbeca306f8c5bc1032,,2018-11-27T17:55:00+02:00,2018-12-31T00:00:00+02:00,2018-11-27T00:00:00+02:00,active
15,5bfd6bd1eca306f8c5bc100d,,2018-11-27T18:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-27T00:00:00+02:00,active
16,5bfd6c09eca306f8c5bc10e3,,2018-11-26T00:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-26T00:00:00+02:00,active
17,5bfd6be9eca306f8c5bc106a,,,,,pending
18,5bfd6bdeeca306f8c5bc103c,,,,,
19,5bfd6bf7eca306f8c5bc10a5,,2018-11-27T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-27T00:00:00+02:00,active
